Codigo da linha,Aceita cartao,Nome da linha,Cor que descreve a linha
150,S,C. MUSICA-V. ALEGRE,AMARELA
160,S,NULO,AMARELA
164,S,R.PRADO-C.GOMES,AMARELA
165,S,UNIVERSIDADES,AMARELA
166,S,V. NORI,AMARELA
167,S,FREDOLIN WOLF,AMARELA
168,S,RAPOSO TAVARES,AMARELA
169,S,JD. KOSMOS,AMARELA
170,S,NULO,AMARELA
171,S,PRIMAVERA,AMARELA
175,S,BOM RETIRO-PUC,AMARELA
176,S,PARQUE TANGUA,AMARELA
180,S,AGUA VERDE-ABRANCHES,AMARELA
181,S,MATEUS LEME,AMARELA
182,N,ABRANCHES,AMARELA
183,S,JD. CHAPARRAL,AMARELA
184,S,V. SUICA,AMARELA
201,N,NULO,AMARELA
205,N,BARREIRINHA,AMARELA
207,N,CABRAL-OSORIO,AMARELA
260,S,MAL. HERMES-STA. EFIGENIA,AMARELA
265,S,AHU-LOS ANGELES,AMARELA
266,S,ESTRIBO AHU,AMARELA
270,S,FERNANDO DE NORONHA,AMARELA
271,S,LARANJEIRAS,AMARELA
272,S,PAINEIRAS,AMARELA
274,S,STA. GEMA,AMARELA
275,N,F. NORONHA-LARANJEIRAS,AMARELA
280,S,NSA.SRA.DE NAZARE,AMARELA
360,S,NOVENA,AMARELA
361,S,AUGUSTO STRESSER,AMARELA
365,S,JD. SOCIAL-BATEL,AMARELA
366,S,ITUPAVA-HOSP. MILITAR,AMARELA
370,S,RUA XV-BARIGUI,AMARELA
371,F,HIGIENOPOLIS,AMARELA
372,N,TARUMA,AMARELA
373,N,ALTO TARUMA,AMARELA
374,N,HUGO LANGE,AMARELA
375,N,SAGRADO CORACAO,AMARELA
378,S,INTER-HOSPITAIS,AMARELA
380,S,DETRAN-VIC. MACHADO,AMARELA
385,S,CRISTO REI,AMARELA
386,S,CAJURU,AMARELA
387,S,PALOTINOS,AMARELA
393,S,C. IMBUIA-PQ. BARIGUI,AMARELA
461,S,STA. BARBARA,AMARELA
462,S,PETROPOLIS,AMARELA
463,S,SOLITUDE,AMARELA
464,S,A. MUNHOZ-J. BOTANICO,AMARELA
465,S,ERASTO  GAERTNER,AMARELA
466,S,ESTUDANTES,AMARELA
468,S,JD. CENTAURO,AMARELA
471,S,V. SAO PAULO,AMARELA
472,S,UBERABA,AMARELA
474,S,JD. ITIBERE,AMARELA
475,S,CANAL BELEM,AMARELA
477,S,NULO,AMARELA
560,S,ALFERES POLI,AMARELA
561,S,GUILHERMINA,AMARELA
594,N,NULO,AMARELA
661,S,LINDOIA,AMARELA
662,S,DOM ATICO,AMARELA
663,S,V. CUBAS,AMARELA
665,S,V. REX,AMARELA
666,S,NOVO MUNDO,AMARELA
670,S,SAO JORGE,AMARELA
671,S,PORTAO,AMARELA
673,S,FORMOSA,AMARELA
674,S,NSA. SRA. DA LUZ,AMARELA
701,N,FAZENDINHA,AMARELA
703,N,CAIUA,AMARELA
706,N,CAIUA-FAZ-CENTRO,AMARELA
760,S,STA. QUITERIA,AMARELA
761,S,V. IZABEL,AMARELA
762,S,V. ROSINHA,AMARELA
777,S,V. VELHA,AMARELA
778,N,COTOLENGO,AMARELA
779,S,NULO,AMARELA
801,N,CAMP. SIQUEIRA-BATEL,AMARELA
860,S,V. SANDRA,AMARELA
861,S,TRAMONTINA,AMARELA
865,S,JD. ESPLANADA,AMARELA
870,S,SAO BRAZ,AMARELA
875,S,BIGORRILHO,AMARELA
876,S,SAVOIA,AMARELA
901,N,STA. FELICIDADE,AMARELA
965,S,SAO BERNARDO,AMARELA
967,S,JULIO GRAF,AMARELA
972,F,JD. ITALIA,AMARELA
001,S,CIRCULAR CENTRO (HORARIO),BRANCA
002,S,CIRCULAR CENTRO (ANTI-HORARIO),BRANCA
*14,N,REFORCO HAUER,LARANJA
*39,S,REFORCO STA.CANDIDA,LARANJA
211,F,COLINA VERDE,LARANJA
212,S,SOLAR,LARANJA
213,S,NULO,LARANJA
214,S,TINGUI,LARANJA
216,N,CABRAL-PORTAO,LARANJA
222,N,V. ESPERANCA,LARANJA
224,S,CASSIOPEIA,LARANJA
225,N,NULO,LARANJA
226,N,ABAETE,LARANJA
231,F,BANESTADO-CALIFORNIA,LARANJA
232,N,NULO,LARANJA
233,N,OLARIA,LARANJA
236,S,SAO BENEDITO,LARANJA
242,F,V. LEONICE,LARANJA
243,F,STA. TEREZINHA,LARANJA
244,S,NULO,LARANJA
245,N,ANITA GARIBALDI,LARANJA
311,S,ARAGUAIA,LARANJA
321,N,TRINDADE,LARANJA
322,N,CAMARGO,LARANJA
323,N,V. AUTODROMO,LARANJA
331,S,MERCURIO,LARANJA
332,N,NULO,LARANJA
334,F,AGRICOLA,LARANJA
335,N,CENTENARIO-BOQUEIRAO,LARANJA
336,N,V. RENO,LARANJA
338,N,CENTENARIO-HAUER,LARANJA
341,N,B. ALTO-STA. CANDIDA,LARANJA
342,F,B. ALTO-BOA VISTA,LARANJA
343,S,PARAISO,LARANJA
511,N,SAO FRANCISCO,LARANJA
512,N,ITAMARATI,LARANJA
513,N,HAUER-BOQUEIRAO,LARANJA
515,N,IGUAPE II,LARANJA
516,S,C. BELEM-S. FILHO,LARANJA
521,N,NIVALDO BRAGA,LARANJA
522,N,MARINGA,LARANJA
523,N,IGUAPE I,LARANJA
524,N,BAIRRO NOVO B-C,LARANJA
528,N,BOQUEIRAO-PINHEIRINHO,LARANJA
531,N,STA. INES,LARANJA
532,N,JD.PARANAENSE,LARANJA
533,N,E. VERISSIMO-PANTANAL,LARANJA
534,N,PARIGOT DE SOUZA,LARANJA
535,N,OSTERNACK-BOQUEIRAO,LARANJA
536,N,ZOOLOGICO,LARANJA
540,N,BOQUEIRAO-MONDELEZ,LARANJA
541,N,BAIRRO NOVO A,LARANJA
542,N,BAIRRO NOVO B,LARANJA
545,N,TRABALHADOR,LARANJA
547,N,BAIRRO NOVO C,LARANJA
548,N,OSTERNACK-S. CERCADO,LARANJA
552,N,SAMBAQUI,LARANJA
600,F,KAMYR-QUARTEL GENERAL,LARANJA
611,N,FAZENDINHA-PORTAO,LARANJA
612,N,PORTAO-CIC,LARANJA
614,N,FAZENDINHA-PUC,LARANJA
615,F,UBERLANDIA,LARANJA
616,S,NULO,LARANJA
617,N,JD. LUDOVICA,LARANJA
619,N,STA. RITA-CIC,LARANJA
620,N,STA. CRUZ,LARANJA
621,N,FANNY,LARANJA
622,F,RONDON,LARANJA
623,N,PARQUE INDUSTRIAL,LARANJA
624,N,V. SAO PEDRO,LARANJA
625,N,NULO,LARANJA
627,F,BOSCH,LARANJA
628,F,CARBOMAFRA,LARANJA
629,N,ALTO BOQUEIRAO,LARANJA
630,F,VITORIA REGIA,LARANJA
631,N,PIRATINI-BR 476,LARANJA
632,S,QUARTEL GENERAL,LARANJA
633,N,MARIA ANGELICA,LARANJA
635,F,LONDRINA,LARANJA
636,N,RIO NEGRO,LARANJA
637,N,STA. JOANA,LARANJA
638,N,PINHEIRINHO,LARANJA
639,N,FUTURAMA,LARANJA
640,N,PALMEIRA,LARANJA
641,N,LUIZ NICHELE,LARANJA
642,N,GANCHINHO,LARANJA
643,N,UMBARA,LARANJA
644,S,PINHEIRINHO-CIC,LARANJA
646,N,POMPEIA-JANAINA,LARANJA
649,N,PIRINEUS,LARANJA
650,N,STA. RITA-PINHEIRINHO,LARANJA
652,F,V. VERDE,LARANJA
653,N,SABARA,LARANJA
654,N,CAMPO ALEGRE,LARANJA
655,N,JD. DA ORDEM,LARANJA
656,N,NULO,LARANJA
657,N,XAXIM-CAPAO RASO,LARANJA
658,N,C. RASO-CAIUA,LARANJA
659,N,CAXIMBA-OLARIA,LARANJA
668,N,NULO,LARANJA
680,N,RURBANA,LARANJA
681,N,DALAGASSA,LARANJA
683,N,FUTURAMA-S. CERCADO,LARANJA
684,N,RIO BONITO,LARANJA
685,N,RIO BONITO-CIC,LARANJA
688,N,NULO,LARANJA
690,N,V. JULIANA,LARANJA
710,S,NULO,LARANJA
711,F,ITATIAIA,LARANJA
712,N,JD. INDEPENDENCIA-CIC,LARANJA
713,S,STA. AMELIA,LARANJA
716,N,FORUM-B.VISTA,LARANJA
718,N,PORTO BELO,LARANJA
719,N,FAZENDINHA-CAIUA-FORUM,LARANJA
720,N,FAZENDINHA-C. COMPRIDO,LARANJA
721,N,MARIO JORGE,LARANJA
732,N,CAIUA-C.COMPRIDO,LARANJA
772,N,TUPY-JULIANA,LARANJA
773,N,VIZINHANCA-STA. RITA,LARANJA
811,F,SATURNO,LARANJA
812,N,MONTANA,LARANJA
814,S,MOSSUNGUE,LARANJA
815,N,REFORCO TUIUTI,LARANJA
816,N,CAMP. SIQUEIRA-STA.FELICIDADE,LARANJA
820,N,AUGUSTA-V. MARQUETO,LARANJA
821,F,FERNAO DIAS,LARANJA
822,F,NULO,LARANJA
823,S,AUGUSTA,LARANJA
825,S,V. MARQUETO,LARANJA
826,N,C. COMPRIDO-CIC,LARANJA
827,F,RIVIERA,LARANJA
828,N,C. COMPRIDO-C. RASO,LARANJA
829,N,UNIV.POSITIVO,LARANJA
831,N,FAZENDINHA-C.RASO,LARANJA
911,S,PASSAUNA,LARANJA
912,S,JOSE CULPI,LARANJA
913,S,NULO,LARANJA
915,S,OURO VERDE (VIA VL.BADIA),LARANJA
916,F,PINHEIROS,LARANJA
917,F,JD. IPE,LARANJA
918,S,VENEZA,LARANJA
924,N,STA. FELICIDADE-STA. CANDIDA,LARANJA
928,S,PASSAUNA-JD.IPE,LARANJA
938,S,JOSE CULPI-VENEZA,LARANJA
948,S,BUTIATUVINHA-OURO VERDE,LARANJA
*03,S,NULO,LARANJA
188,S,MAD. PILARZINHO-UBERABA,MADRUGUEIRO
189,S,MAD. ABRANCHES,MADRUGUEIRO
209,S,MAD. S. CANDIDA-C. RASO,MADRUGUEIRO
229,S,MAD. PENHA-F. NORONHA,MADRUGUEIRO
308,N,MAD. CENTENARIO-RUI BARBOSA,MADRUGUEIRO
309,S,MAD. CENTENARIO,MADRUGUEIRO
389,S,MAD. TARUMA-AUGUSTA,MADRUGUEIRO
489,S,NULO,MADRUGUEIRO
509,N,MAD. BOQUEIRAO,MADRUGUEIRO
519,N,MAD. S. FRANCISCO-IGUAPE,MADRUGUEIRO
549,N,MAD. BAIRRO NOVO,MADRUGUEIRO
609,N,MAD. CIC,MADRUGUEIRO
679,N,MAD. TATUQUARA,MADRUGUEIRO
689,S,MAD. S. PEDRO-R. NEGRO,MADRUGUEIRO
788,S,MAD. V. VELHA,MADRUGUEIRO
789,S,MAD. CAIUA,MADRUGUEIRO
809,S,MAD. CAMPO COMPRIDO,MADRUGUEIRO
889,N,MAD. SAO BRAZ,MADRUGUEIRO
989,N,MAD. STA. FELICIDADE,MADRUGUEIRO
*30,N,REFORCO C.IMBUIA,PRATA
*31,N,REFORCO CAMP.SIQUEIRA,PRATA
*32,N,CIC-CAPAO RASO,PRATA
*35,S,NULO,PRATA
*36,S,REF. GUADALUPE-FAZENDINHA,PRATA
022,N,INTER 2 (HORARIO),PRATA
023,N,INTER 2 (ANTI-HORARIO),PRATA
024,N,C. RASO-CAMP. SIQUEIRA,PRATA
210,N,CIC-CABRAL,PRATA
256,N,BARREIRINHA-GUADALUPE,PRATA
304,N,PINHAIS-C. COMPRIDO,PRATA
305,N,CENTENARIO,PRATA
307,N,B. ALTO-STA. FELICIDADE,PRATA
340,N,DETRAN-B. ALTO,PRATA
469,N,CENTRO POLITECNICO,PRATA
505,N,BOQUEIRAO-C. CIVICO,PRATA
506,N,BAIRRO NOVO,PRATA
507,N,SITIO CERCADO (HORARIO),PRATA
508,N,SITIO CERCADO (ANTI-HORARIO),PRATA
518,N,PUC-RODOFERROVIARIA,PRATA
520,N,NULO,PRATA
527,N,PINHEIRINHO-BOQUEIRAO,PRATA
546,N,S. CERCADO-BOQUEIRAO,PRATA
607,N,COLOMBO-CIC,PRATA
610,N,S. CERCADO-C. RASO,PRATA
700,N,PINHEIRINHO-CABRAL,PRATA
702,N,CAIUA-CACHOEIRA,PRATA
902,N,STA. FELICIDADE-PCA.TIRADENTES,PRATA
*52,S,VACINA PQ. BARIGUI,TURISMO
979,S,NULO,TURISMO
010,N,INTERBAIRROS I (HORARIO),VERDE
011,N,INTERBAIRROS I (ANTI-HORARIO),VERDE
020,N,INTERBAIRROS II (HORARIO),VERDE
021,N,INTERBAIRROS II (ANTI-HORARIO),VERDE
027,N,NULO,VERDE
030,N,INTERBAIRROS III,VERDE
040,N,INTERBAIRROS IV,VERDE
050,N,INTERBAIRROS V,VERDE
060,N,INTERBAIRROS VI,VERDE
*11,N,SITIO CERCADO-C. RASO,VERMELHA
*12,N,ESPECIAL BOQUEIRAO,VERMELHA
*20,N,PORTAO-SITIO CERCADO,VERMELHA
200,N,LIGEIRAO S.CANDIDA-PCA.JAPAO,VERMELHA
202,N,CABRAL-C.RASO,VERMELHA
203,N,STA. CANDIDA-C. RASO,VERMELHA
302,N,CENTENARIO-RUI BARBOSA,VERMELHA
303,N,CENTENARIO-C. COMPRIDO,VERMELHA
500,N,LIGEIRAO BOQUEIRAO,VERMELHA
502,N,CIRCULAR SUL (HORARIO),VERMELHA
503,N,BOQUEIRAO,VERMELHA
550,N,LIGEIRAO PINHEIRINHO-C. GOMES,VERMELHA
602,N,CIRCULAR SUL  (ANTI-HORARIO),VERMELHA
603,N,PINHEIRINHO-RUI BARBOSA,VERMELHA
